text,intent
terima kasih,thanks
yo,greet
thank you,thanks
hello,greet
is communal 2 open?,check_availability
reserving Sergun,booking_request
thank you,thanks
thx,thanks
halo,greet
thanks,thanks
thank u,thanks
drop Theater,cancel_booking
keep theater,booking_request
end chat,goodbye
hello bot,greet
remove Communal 3,cancel_booking
I want to cancel reservation,cancel_booking
exit,goodbye
grab sergun,booking_request
halo,greet
booking Communal 5 at 1pm,booking_request
bye,goodbye
thank you so much,thanks
end chat,goodbye
thank you so much,thanks
hi,greet
good morning,greet
thanks,thanks
bye,goodbye
goodbye,goodbye
hello,greet
see you,goodbye
halo,greet
thanks,thanks
any slots in coworking space,check_availability
hello bot,greet
hi,greet
need serbaguna asap,booking_request
can i use dapur?,check_availability
is Communal 1 free,check_availability
thx,thanks
hey,greet
drop coworking space,cancel_booking
please cancel Plaza,cancel_booking
bye,goodbye
can we use co working space on 5th jan 2026?,check_availability
can i get sergun?,booking_request
good afternoon,greet
can i use coworking space?,check_availability
book Plaza,booking_request
need communal 1,booking_request
bye,goodbye
please secure co working space for us,booking_request
have a nice day,goodbye
hallo,greet
exit,goodbye
check Serbaguna,check_availability
see if communal 2 is available,check_availability
communal 2 available tomorrow?,check_availability
any slots in communal 1?,check_availability
quit,goodbye
good evening,greet
good afternoon,greet
exit,goodbye
keep communal 2,booking_request
drop Communal 3,cancel_booking
hello bot,greet
reserve communal 3 from 0730 to 0930 to 0730 to 0930,booking_request
Plaza for tomorrow,booking_request
abort Plaza,cancel_booking
halo,greet
can I use Co working space?,check_availability
get Communal 2,booking_request
delete booking,cancel_booking
is coworking space free at 1000,check_availability
thanks,thanks
thanks,thanks
drop Communal 3,cancel_booking
delete Communal 1,cancel_booking
unbook Theater,cancel_booking
bye bye,goodbye
keep serbaguna,booking_request
i want to book coworking space,booking_request
see ya,goodbye
terima kasih,thanks
forget Communal 5,cancel_booking
exit,goodbye
we need to reserve theater,booking_request
see you,goodbye
greetings,greet
need co working space,booking_request
delete communal 3,cancel_booking
cancel reservation,cancel_booking
good morning,greet
terima kasih,thanks
secure Communal 5,booking_request
is communal 5 open?,check_availability
good morning,greet
see you,goodbye
reserve co working space,booking_request
arigato,thanks
thanks a lot,thanks
thank you,thanks
any slots in Dapur?,check_availability
void communal 1,cancel_booking
hallo,greet
need communal 1 asap,booking_request
see if Plaza is available,check_availability
cancel Communal 2,cancel_booking
good afternoon,greet
hey,greet
thanks,thanks
is communal 5 empty?,check_availability
hi,greet
thanks,thanks
we don't need communal 1 anymore,cancel_booking
please secure cws for us,booking_request
terima kasih,thanks
thank you so much,thanks
want communal 2,booking_request
Communal 1 booking,booking_request
end chat,goodbye
good evening,greet
is communal 5 free at 08:00-12:00?,check_availability
thanks a lot,thanks
delete booking,cancel_booking
drop communal 3,cancel_booking
see if Sergun is available,check_availability
have a nice day,goodbye
availability Theater,check_availability
delete booking,cancel_booking
arigato,thanks
bye,goodbye
greetings,greet
goodbye,goodbye
co working space booking,booking_request
quit,goodbye
is Communal 3 available,check_availability
communal 3 on next week,booking_request
yo,greet
forget plaza,cancel_booking
schedule Communal 5,booking_request
hello,greet
reserve CWS,booking_request
thanks bot,thanks
good morning,greet
see if Serbaguna is available,check_availability
drop communal 5,cancel_booking
