text,intent
reservation for Theater please,booking_request
Communal 3 for tomorrow,booking_request
ppti 9 wants serbaguna,booking_request
is dapur empty?,check_availability
cancel my booking,cancel_booking
delete theater,cancel_booking
reserving communal 3,booking_request
need plaza,booking_request
secure theater,booking_request
unbook Communal 3,cancel_booking
is theater available?,check_availability
remove Coworking Space,cancel_booking
cancel reservation,cancel_booking
theater available tomorrow,check_availability
remove reservation for PPTI 24,cancel_booking
grab Theater,booking_request
drop communal 1,cancel_booking
book communal 2 now,booking_request
cancel booking,cancel_booking
is Sergun empty?,check_availability
void co working space,cancel_booking
can we use Communal 1 on Monday,check_availability
we don't need communal 3 anymore,cancel_booking
get CWS,booking_request
secure Communal 1,booking_request
is co working space open?,check_availability
cws booking,booking_request
we need to reserve communal 5,booking_request
drop communal 5,cancel_booking
check communal 5,check_availability
reserve Sergun,booking_request
unbook co working space,cancel_booking
is CWS vacant,check_availability
we need to reserve communal 2,booking_request
remove communal 5,cancel_booking
book serbaguna,booking_request
stop the booking for Serbaguna,cancel_booking
book Sergun now,booking_request
cancel booking,cancel_booking
delete Co working space,cancel_booking
is co working space free?,check_availability
i want to cancel reservation,cancel_booking
is CWS occupied,check_availability
is Communal 1 occupied?,check_availability
delete Serbaguna,cancel_booking
reserve Co working space,booking_request
abort Communal 5,cancel_booking
can i get sergun?,booking_request
please secure co working space for us,booking_request
book Communal 2,booking_request
abort Communal 1,cancel_booking
need communal 3 asap,booking_request
keep Dapur,booking_request
We need to reserve Dapur,booking_request
delete Communal 5,cancel_booking
check Communal 1,check_availability
check schedule for Dapur,check_availability
co working space on today,booking_request
drop theater,cancel_booking
remove Coworking Space,cancel_booking
drop communal 3,cancel_booking
cancel Communal 1,cancel_booking
we don't need Plaza anymore,cancel_booking
book Coworking Space,booking_request
is Communal 5 occupied,check_availability
is communal 2 vacant?,check_availability
status of Serbaguna,check_availability
schedule Communal 2,booking_request
is Communal 2 free,check_availability
please cancel CWS,cancel_booking
Please secure Dapur for us,booking_request
keep sergun,booking_request
Communal 5 for tomorrow,booking_request
Plaza available tomorrow,check_availability
cancel CWS,cancel_booking
cancel booking,cancel_booking
we need to reserve theater,booking_request
check CWS,check_availability
void Serbaguna,cancel_booking
communal 1 available tomorrow?,check_availability
cancel it,cancel_booking
check Sergun,check_availability
when is Plaza free?,check_availability
is Plaza open?,check_availability
stop the booking for Co working space,cancel_booking
put me down for communal 3,booking_request
is Plaza empty?,check_availability
dapur on 25th dec,booking_request
status of cws,check_availability
see if communal 3 is available,check_availability
availability serbaguna,check_availability
is serbaguna available?,check_availability
book CWS,booking_request
need Coworking Space,booking_request
cancel it,cancel_booking
remove serbaguna,cancel_booking
book Serbaguna pls,booking_request
Can I get Dapur?,booking_request
Dapur available tomorrow?,check_availability
reserve Theater from 14:00-16:00 to 14:00-16:00,booking_request
remove communal 2,cancel_booking
remove theater,cancel_booking
abort Co working space,cancel_booking
is Communal 3 free?,check_availability
status of serbaguna,check_availability
co working space on 2nd february 2026,booking_request
void communal 3,cancel_booking
remove co working space,cancel_booking
check schedule for Communal 2,check_availability
check Communal 2 status,check_availability
